sex,age,age_cat,race,decile_score,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,score_text,two_year_recid,length_of_stay
1,22,0,0,10,0,0,0,11,0.0,0,1,2,1,0
0,38,1,0,1,0,0,0,1,-1.0,0,0,0,0,0
1,30,1,0,7,0,0,0,1,0.0,1,0,1,0,0
1,27,1,1,6,0,0,0,6,-1.0,0,1,1,1,34
0,59,2,1,1,0,0,0,0,0.0,1,0,0,0,0
1,37,1,1,1,0,0,0,2,-2.0,1,0,0,0,1
1,28,1,0,7,0,0,0,5,0.0,1,1,1,1,1
1,38,1,1,1,0,0,0,0,0.0,0,0,0,0,0
1,22,0,0,8,0,0,1,0,-1.0,0,1,2,1,0
1,25,1,0,5,0,0,0,4,-1.0,0,1,1,1,31
1,51,2,1,1,0,0,0,0,0.0,1,0,0,0,0
1,29,1,1,2,0,0,0,2,29.0,1,1,0,1,25
1,28,1,0,3,0,0,0,10,0.0,0,0,0,0,0
1,55,2,0,3,0,0,0,9,0.0,1,1,0,1,3
0,23,0,1,10,0,0,0,3,-1.0,0,0,2,0,5
0,22,0,0,5,0,0,0,0,-1.0,1,0,1,0,7
0,19,0,1,10,0,0,0,2,-2.0,0,1,2,1,22
1,31,1,0,1,0,0,0,1,-27.0,1,0,0,0,-1
1,29,1,0,1,0,0,0,0,0.0,1,0,0,0,0
1,61,2,0,6,0,0,0,15,-1.0,0,1,1,1,1
1,20,0,0,9,0,1,1,4,-1.0,0,1,2,1,2
1,26,1,1,7,0,0,0,3,-1.0,0,1,1,1,1
1,27,1,1,9,0,0,0,5,0.0,1,0,2,0,1
1,25,1,1,5,0,0,0,1,-1.0,0,0,1,0,1
1,23,0,1,5,0,2,0,3,-1.0,0,1,1,1,9
1,38,1,0,1,0,0,0,0,-1.0,0,0,0,0,1
1,27,1,0,9,0,2,1,18,0.0,0,1,2,1,0
0,35,1,1,3,0,0,0,0,0.0,0,1,0,1,-1
0,58,2,0,2,0,0,0,4,-14.0,0,1,0,1,1
0,57,2,1,4,0,0,0,0,-1.0,1,1,0,1,1
1,21,0,0,3,0,0,1,0,-1.0,0,0,0,0,0
0,22,0,0,8,0,0,0,0,-1.0,0,0,2,0,1
1,30,1,0,2,0,0,0,0,-1.0,0,0,0,0,2
1,30,1,0,8,0,0,0,8,-1.0,0,1,2,1,1
0,31,1,0,6,0,0,0,10,-1.0,0,0,1,0,0
0,45,2,1,6,0,0,0,1,0.0,0,0,1,0,1
1,39,1,1,2,0,0,0,2,-13.0,0,1,0,1,4
1,31,1,0,8,0,0,0,0,-1.0,0,1,2,1,1
1,22,0,0,4,0,0,0,1,-1.0,0,1,0,1,1
1,27,1,0,7,0,0,0,13,-1.0,0,1,1,1,2
1,38,1,1,1,0,0,0,1,-1.0,0,1,0,1,0
1,31,1,0,10,0,0,0,23,0.0,0,1,2,1,55
1,47,2,0,9,0,0,0,20,-1.0,0,0,2,0,1
1,22,0,0,7,0,1,0,3,-1.0,0,0,1,0,0
1,35,1,0,9,0,0,1,1,-1.0,1,1,2,1,79
1,65,2,0,2,0,0,0,2,-18.0,1,1,0,1,5
1,35,1,0,4,0,0,0,0,-1.0,1,0,0,0,1
0,33,1,0,3,0,0,0,0,-1.0,0,0,0,0,1
1,53,2,1,1,0,0,0,1,-10.0,1,0,0,0,1
1,21,0,0,5,0,0,0,0,-1.0,0,0,1,0,0
1,37,1,0,4,0,0,0,11,-1.0,0,0,0,0,1
0,31,1,0,1,0,0,0,0,0.0,1,0,0,0,-1
0,59,2,1,3,0,0,0,2,26.0,0,0,0,0,29
1,27,1,0,2,0,0,0,0,-1.0,1,0,0,0,1
1,36,1,0,7,0,0,0,0,-1.0,1,1,1,1,0
1,46,2,0,9,0,0,0,17,-1.0,0,1,2,1,6
1,22,0,0,9,0,0,1,3,0.0,0,0,2,0,323
0,28,1,1,2,0,0,0,0,-1.0,1,0,0,0,0
0,34,1,1,9,0,0,1,15,-4.0,0,1,2,1,3
1,23,0,0,10,0,0,1,2,0.0,1,1,2,1,80
1,27,1,0,4,0,0,0,3,-1.0,0,0,0,0,0
1,48,2,1,1,0,0,0,3,-3.0,0,1,0,1,0
1,31,1,0,7,0,0,0,5,-1.0,0,0,1,0,6
1,36,1,0,5,0,1,0,4,-1.0,1,0,1,0,2
1,44,1,0,8,0,0,0,14,-1.0,0,1,2,1,1
1,53,2,1,1,0,0,0,2,-2.0,0,0,0,0,0
1,33,1,0,2,0,0,0,3,-1.0,1,1,0,1,1
1,47,2,1,5,0,0,0,2,0.0,0,1,1,1,2
1,57,2,0,7,0,0,0,20,0.0,0,1,1,1,33
1,28,1,0,4,0,0,0,2,-1.0,1,0,0,0,6
1,24,0,0,6,0,0,0,1,-1.0,1,0,1,0,1
1,44,1,0,1,0,0,0,1,-1.0,0,0,0,0,1
1,46,2,0,1,0,0,0,0,-1.0,0,0,0,0,1
1,37,1,0,3,0,0,0,6,0.0,0,0,0,0,1
1,26,1,0,6,0,0,0,10,-6.0,1,1,1,1,5
1,27,1,0,8,0,1,0,10,0.0,0,1,2,1,0
1,40,1,1,2,0,0,0,1,-1.0,0,0,0,0,1
0,60,2,1,3,0,0,0,9,0.0,0,1,0,1,384
1,53,2,1,1,0,0,0,1,-6.0,0,0,0,0,6
1,28,1,0,1,0,0,0,0,-1.0,0,0,0,0,1
0,46,2,1,8,0,0,0,2,-1.0,0,0,2,0,19
1,23,0,0,5,0,0,0,0,-1.0,0,1,1,1,1
1,50,2,0,8,0,0,0,18,-1.0,0,1,2,1,248
1,45,2,0,1,0,0,0,0,-1.0,1,0,0,0,1
1,22,0,0,5,0,0,0,1,-1.0,0,0,1,0,0
1,26,1,1,2,0,0,0,1,0.0,0,1,0,1,16
1,62,2,1,1,0,0,0,0,-1.0,0,0,0,0,2
1,34,1,1,1,0,0,0,0,0.0,1,1,0,1,-1
1,21,0,1,2,0,0,0,0,-1.0,1,0,0,0,1
1,25,1,1,2,0,0,0,0,-1.0,0,1,0,1,0
1,68,2,1,1,0,0,0,0,-1.0,1,0,0,0,3
1,21,0,1,3,0,0,0,1,-1.0,0,0,0,0,0
1,22,0,0,8,0,0,0,0,0.0,0,0,2,0,0
1,42,1,1,1,0,0,0,1,-1.0,0,0,0,0,0
1,22,0,1,4,0,1,1,1,-1.0,0,1,0,1,1
1,45,2,0,4,0,0,0,0,-1.0,0,1,0,1,2
0,36,1,0,10,0,0,0,4,-1.0,0,1,2,1,0
1,48,2,0,6,0,0,0,2,0.0,0,0,1,0,1
1,23,0,0,9,0,0,1,6,-1.0,0,1,2,1,8
1,24,0,0,8,0,0,0,0,0.0,0,0,2,0,1
1,29,1,0,2,0,0,0,0,-1.0,0,0,0,0,1
1,24,0,0,3,0,0,0,0,-3.0,0,0,0,0,0
1,50,2,0,9,0,0,0,11,0.0,0,0,2,0,2
1,34,1,0,7,0,1,0,10,0.0,0,1,1,1,2
1,23,0,0,2,0,0,0,0,0.0,0,0,0,0,0
0,22,0,1,5,0,0,0,0,-1.0,1,0,1,0,2
1,30,1,1,5,0,0,0,22,-1.0,0,1,1,1,3
1,21,0,0,10,0,0,0,0,-1.0,0,1,2,1,1
0,53,2,1,1,0,0,0,0,0.0,0,0,0,0,1
1,25,1,0,5,0,1,1,7,-1.0,1,1,1,1,0
0,25,1,0,9,0,0,0,1,0.0,1,0,2,0,0
1,71,2,0,1,0,0,0,8,-1.0,0,0,0,0,24
1,39,1,0,9,0,4,0,10,-1.0,1,0,2,0,40
0,37,1,0,5,0,0,0,0,0.0,0,0,1,0,37
1,20,0,0,5,0,0,2,0,0.0,0,1,1,1,7
0,29,1,0,5,0,0,0,3,-1.0,0,0,1,0,0
1,22,0,0,5,0,0,0,2,-1.0,0,1,1,1,1
1,26,1,0,7,0,0,0,4,-1.0,0,1,1,1,83
0,47,2,0,10,0,0,0,19,-1.0,0,1,2,1,30
0,20,0,1,8,0,0,0,1,-1.0,0,1,2,1,17
0,23,0,0,2,0,0,0,0,-1.0,0,0,0,0,1
0,53,2,0,1,0,0,0,0,0.0,0,0,0,0,0
0,23,0,0,7,0,0,0,0,-1.0,0,1,1,0,0
1,26,1,0,7,0,0,1,5,-1.0,0,1,1,1,22
1,25,1,0,6,0,0,0,6,-1.0,0,1,1,0,6
1,27,1,0,9,0,0,0,4,0.0,0,1,2,1,0
1,29,1,0,4,0,0,0,1,-1.0,1,0,0,0,3
1,31,1,0,2,0,0,0,0,-1.0,1,0,0,0,0
1,41,1,0,6,0,0,0,8,-29.0,0,1,1,1,0
1,25,1,1,2,0,0,0,0,-2.0,1,0,0,0,0
1,47,2,1,1,0,0,0,0,-1.0,1,0,0,0,-1
1,37,1,0,2,0,0,0,4,-1.0,0,0,0,0,1
0,35,1,0,5,0,0,0,4,-1.0,0,0,1,0,2
1,24,0,1,4,0,0,0,1,0.0,1,1,0,1,1
1,21,0,1,9,0,2,1,2,-1.0,0,1,2,1,5
1,22,0,1,4,0,0,0,0,0.0,0,1,0,1,2
1,57,2,0,6,0,0,0,11,-1.0,0,0,1,0,140
1,48,2,1,7,0,0,0,0,-1.0,0,0,1,0,11
0,37,1,0,7,0,0,0,3,-1.0,0,0,1,0,28
1,31,1,1,1,0,0,0,0,0.0,1,0,0,0,5
1,22,0,0,9,0,1,0,1,-1.0,0,1,2,1,4
1,31,1,1,3,0,0,0,2,0.0,1,0,0,0,0
1,24,0,0,5,0,0,0,0,-1.0,0,1,1,1,0
1,32,1,0,9,0,0,1,22,0.0,0,1,2,1,0
1,63,2,0,1,0,0,0,0,-1.0,1,0,0,0,0
1,20,0,1,4,0,0,2,0,-1.0,0,0,0,0,1
0,24,0,0,5,0,0,0,1,0.0,1,1,1,1,0
0,36,1,0,2,0,0,0,1,-1.0,1,0,0,0,0
1,28,1,1,6,0,0,0,2,0.0,0,0,1,0,0
1,36,1,0,2,0,0,0,3,-1.0,0,1,0,1,1
0,33,1,0,2,0,0,0,0,-1.0,1,0,0,0,1
1,39,1,0,3,0,0,0,0,0.0,0,0,0,0,0
1,30,1,0,10,0,0,0,17,-4.0,0,1,2,1,4
1,24,0,0,1,0,0,0,1,-1.0,0,1,0,1,0
1,35,1,0,6,0,0,0,7,-1.0,0,0,1,0,1
1,24,0,0,3,0,0,1,0,-1.0,0,0,0,0,0
1,26,1,1,4,0,0,0,8,-1.0,0,0,0,0,2
1,28,1,0,7,0,0,0,14,-1.0,0,1,1,1,0
1,32,1,0,5,0,0,0,0,-1.0,1,0,1,0,0
0,32,1,1,3,0,0,0,1,-1.0,1,1,0,1,0
1,33,1,0,8,0,0,0,5,0.0,1,1,2,1,5
1,29,1,0,10,0,1,0,16,-1.0,0,0,2,0,17
1,34,1,1,3,0,0,0,1,-1.0,1,1,0,1,0
1,43,1,1,1,0,0,0,0,0.0,1,0,0,0,0
1,47,2,1,4,0,0,0,2,-3.0,0,0,0,0,0
1,25,1,0,6,0,0,0,3,0.0,1,1,1,1,2
0,23,0,0,3,0,0,0,1,-1.0,0,0,0,0,1
1,39,1,1,2,0,0,0,2,-1.0,1,1,0,0,0
1,35,1,0,8,0,0,0,13,-1.0,0,1,2,1,5
1,43,1,0,8,1,0,0,20,0.0,0,0,2,0,1
1,25,1,0,8,0,1,1,3,-1.0,0,1,2,1,0
1,48,2,0,10,1,0,0,25,-1.0,0,1,2,1,6
1,22,0,0,7,0,0,1,1,28.0,1,1,1,1,1
1,52,2,0,8,1,0,0,9,-1.0,1,1,2,1,38
1,26,1,1,4,0,0,0,5,-1.0,0,1,0,1,35
1,67,2,0,7,0,0,0,4,-1.0,1,1,1,1,27
1,34,1,0,2,0,0,0,4,-1.0,1,0,0,0,1
1,56,2,1,1,0,0,0,4,-1.0,1,1,0,0,0
1,28,1,0,4,0,0,0,1,-1.0,0,1,0,1,5
1,29,1,0,4,0,0,0,2,-1.0,1,0,0,0,0
1,37,1,0,5,0,0,0,6,-1.0,0,1,1,1,20
1,51,2,1,1,0,0,0,0,-1.0,0,0,0,0,1
1,20,0,0,7,0,0,1,1,-2.0,1,1,1,1,0
1,26,1,1,7,0,0,0,4,0.0,1,1,1,1,293
0,39,1,1,2,0,0,0,1,-1.0,1,1,0,1,10
1,21,0,0,8,0,0,1,1,-1.0,0,0,2,0,2
1,21,0,0,9,0,1,1,1,-1.0,0,1,2,1,2
1,24,0,1,4,0,2,0,3,-1.0,0,1,0,1,1
1,26,1,0,8,0,1,0,4,-1.0,1,1,2,1,1
1,48,2,1,2,0,0,0,1,0.0,0,0,0,0,0
1,24,0,0,5,0,1,0,5,-1.0,0,1,1,1,1
1,26,1,1,4,0,0,0,0,0.0,0,0,0,0,-1
1,46,2,1,1,0,0,0,0,-1.0,0,0,0,0,1
1,24,0,0,9,0,1,1,7,-1.0,1,0,2,0,1
0,21,0,1,5,0,0,0,0,-1.0,1,0,1,0,0
1,24,0,0,3,0,0,0,1,-1.0,0,1,0,1,1
1,36,1,0,8,0,0,0,9,0.0,1,0,2,0,1
1,30,1,0,4,0,0,0,5,-1.0,0,1,0,1,1
0,22,0,1,6,0,0,0,1,-23.0,0,0,1,0,1
1,25,1,0,9,0,0,0,0,-1.0,0,1,2,1,9
1,31,1,0,8,0,3,0,25,-1.0,1,1,2,1,117
1,24,0,0,4,0,0,0,0,-1.0,0,0,0,0,2
1,39,1,0,8,0,0,0,13,-1.0,0,1,2,1,1
0,30,1,0,3,0,0,0,4,-5.0,0,0,0,0,0
1,40,1,1,2,0,0,0,0,0.0,0,0,0,0,22
0,52,2,0,1,0,0,0,0,-1.0,0,0,0,0,2
1,23,0,0,9,1,0,1,3,-1.0,0,0,2,0,33
0,26,1,0,2,0,0,0,1,-1.0,1,0,0,0,1
1,22,0,1,8,0,1,0,1,-1.0,0,1,2,1,19
1,42,1,1,4,0,0,0,3,0.0,0,0,0,0,0
1,23,0,0,10,0,3,1,6,-1.0,0,1,2,1,135
1,28,1,0,3,0,0,0,1,-1.0,0,0,0,0,2
1,50,2,1,1,0,0,0,1,-1.0,0,1,0,0,1
1,32,1,0,7,0,0,0,1,-1.0,0,0,1,0,1
1,51,2,0,2,0,0,0,3,-1.0,0,0,0,0,1
1,19,0,1,4,0,0,0,1,-1.0,1,1,0,1,0
1,32,1,0,5,0,0,0,4,0.0,0,0,1,0,108
0,31,1,1,3,0,0,0,1,-22.0,0,1,0,1,0
0,29,1,0,5,0,0,0,1,7.0,0,0,1,0,179
1,26,1,0,7,0,0,0,9,-1.0,0,1,1,1,11
1,27,1,1,10,0,0,0,0,-1.0,0,1,2,1,27
1,52,2,1,1,0,0,0,1,-1.0,0,1,0,1,3
1,28,1,0,6,0,0,0,3,-1.0,1,1,1,1,1
1,32,1,0,1,0,0,0,3,-1.0,0,1,0,1,2
1,27,1,0,3,0,0,0,5,0.0,1,1,0,1,0
0,42,1,1,1,0,0,0,0,0.0,1,0,0,0,0
1,33,1,0,2,0,0,0,0,-1.0,0,1,0,1,0
0,28,1,1,4,0,0,1,3,-1.0,1,0,0,0,45
0,53,2,1,1,0,0,0,0,-1.0,1,0,0,0,0
1,24,0,1,2,0,0,0,0,-1.0,0,0,0,0,1
1,39,1,0,7,0,0,1,6,-1.0,1,1,1,1,35
1,22,0,0,7,0,0,0,1,0.0,0,1,1,1,-1
1,46,2,0,2,0,0,0,2,0.0,0,1,0,1,9
1,25,1,0,2,0,0,0,0,0.0,1,0,0,0,1
1,52,2,1,5,0,0,0,1,-5.0,0,0,1,0,3
1,28,1,0,2,0,0,0,4,-1.0,1,1,0,1,0
0,57,2,1,1,0,0,0,1,-4.0,0,1,0,1,1
1,49,2,0,1,0,0,0,3,-1.0,0,1,0,1,0
1,21,0,0,9,0,0,0,2,-1.0,0,1,2,1,0
1,32,1,0,10,0,0,0,19,-1.0,0,1,2,1,14
1,63,2,0,9,0,0,0,3,-1.0,1,0,2,0,220
1,29,1,1,3,0,0,0,2,0.0,0,0,0,0,1
1,46,2,0,1,0,0,0,0,0.0,1,0,0,0,1
1,28,1,0,7,0,0,0,10,-1.0,1,1,1,1,1
1,27,1,0,2,0,0,0,1,-3.0,0,0,0,0,3
0,33,1,1,1,0,0,0,1,0.0,1,0,0,0,0
1,32,1,0,9,0,0,0,14,-1.0,0,1,2,1,2
1,24,0,0,7,0,0,0,2,-1.0,0,0,1,0,1
1,26,1,0,10,0,0,0,5,-1.0,0,1,2,1,3
1,25,1,1,5,0,0,0,1,-1.0,0,0,1,0,1
1,21,0,0,8,0,0,0,1,-1.0,0,0,2,0,108
1,25,1,0,2,0,0,0,2,-1.0,1,1,0,1,0
1,22,0,0,7,1,1,0,6,-1.0,0,1,1,1,2
0,26,1,1,6,0,0,0,0,-1.0,0,0,1,0,0
1,20,0,1,4,0,0,0,0,-1.0,0,0,0,0,1
1,30,1,0,5,0,0,0,1,-1.0,1,1,1,1,1
1,45,2,0,5,0,0,0,0,-3.0,0,1,1,1,1
1,33,1,0,7,0,0,0,7,0.0,0,1,1,1,78
1,35,1,1,1,0,0,0,2,-1.0,0,0,0,0,0
1,41,1,1,1,0,0,0,5,-1.0,0,0,0,0,1
1,23,0,1,3,0,0,0,0,0.0,1,0,0,0,2
0,21,0,1,5,0,1,0,0,-1.0,1,1,1,1,1
1,54,2,0,1,0,0,0,0,-1.0,0,0,0,0,1
1,27,1,0,6,0,0,0,10,-1.0,0,1,1,1,1
1,22,0,1,3,0,0,0,0,-4.0,1,0,0,0,1
1,23,0,0,6,0,0,0,2,-1.0,0,1,1,1,6
1,36,1,0,8,0,0,0,5,-20.0,1,1,2,1,19
1,29,1,0,7,0,0,1,10,-1.0,0,1,1,1,23
1,54,2,0,5,0,0,0,4,-1.0,1,1,1,1,78
1,22,0,1,5,0,0,0,2,-1.0,1,1,1,1,13
1,26,1,0,4,0,0,0,0,-1.0,1,1,0,1,0
0,20,0,0,4,0,0,0,0,-1.0,0,0,0,0,1
1,52,2,0,1,0,0,0,6,0.0,1,1,0,1,1
1,29,1,0,1,0,0,0,0,-1.0,0,0,0,0,2
0,23,0,0,7,0,0,0,6,-18.0,1,0,1,0,17
1,35,1,0,1,0,0,0,1,-1.0,1,0,0,0,9
1,32,1,1,9,0,0,0,8,-4.0,0,1,2,1,0
1,21,0,0,7,0,0,0,1,-18.0,1,1,1,1,0
1,30,1,0,4,0,0,0,4,-1.0,1,1,0,1,1
0,30,1,0,4,0,0,0,3,-1.0,0,0,0,0,26
1,23,0,0,7,0,0,0,2,-1.0,0,1,1,1,6
1,32,1,1,4,1,0,0,8,-2.0,0,1,0,0,2
1,29,1,0,10,0,0,0,6,-1.0,0,1,2,1,39
1,42,1,1,1,0,0,0,0,0.0,1,0,0,0,0
1,21,0,0,8,0,0,1,0,0.0,0,1,2,1,0
0,22,0,0,3,0,0,0,0,-2.0,1,0,0,0,0
1,29,1,0,2,0,0,0,0,-1.0,1,0,0,0,0
1,30,1,0,5,0,0,0,6,-1.0,0,1,1,1,2
1,51,2,0,4,0,0,0,17,0.0,1,0,0,0,0
1,24,0,1,6,0,0,0,2,-27.0,0,0,1,0,0
1,23,0,0,7,0,0,0,2,-1.0,1,0,1,0,5
1,36,1,0,4,0,0,0,5,-1.0,0,0,0,0,0
1,39,1,0,6,0,0,0,1,-9.0,0,0,1,0,4
1,29,1,0,6,0,0,0,2,-1.0,0,0,1,0,37
1,44,1,1,3,0,0,0,6,0.0,0,0,0,0,-1
1,25,1,0,5,0,0,0,2,-1.0,0,0,1,0,58
1,31,1,0,10,0,0,0,0,0.0,0,0,2,0,0
1,35,1,0,7,0,1,0,17,-1.0,1,1,1,1,2
1,27,1,0,10,0,0,0,11,-1.0,1,1,2,1,2
1,33,1,0,5,0,0,0,1,0.0,0,0,1,0,1
1,28,1,0,9,0,0,0,6,-1.0,0,1,2,1,0
1,60,2,1,1,0,0,0,1,-1.0,0,0,0,0,0
0,54,2,0,1,0,0,0,0,-1.0,0,0,0,0,1
1,24,0,1,4,1,2,0,3,-1.0,1,0,0,0,1
0,75,2,0,1,0,0,0,5,-1.0,0,0,0,0,1
1,36,1,0,5,0,0,0,16,0.0,0,1,1,1,0
0,25,1,0,7,0,0,0,5,-1.0,1,1,1,1,47
1,46,2,1,1,0,0,0,0,-1.0,0,0,0,0,0
1,27,1,0,2,0,0,0,1,0.0,0,0,0,0,6
1,28,1,0,3,0,0,0,3,0.0,1,1,0,1,-1
1,42,1,0,8,1,0,1,13,-1.0,1,1,2,1,0
1,59,2,0,1,0,0,0,2,0.0,1,0,0,0,0
1,39,1,1,1,0,0,0,1,-15.0,0,0,0,0,14
1,46,2,1,4,0,0,0,5,-1.0,1,0,0,0,12
1,55,2,1,1,0,0,0,2,-1.0,0,0,0,0,1
1,35,1,0,10,0,0,0,1,-4.0,1,1,2,1,1
1,43,1,0,1,0,0,0,0,-1.0,1,1,0,1,1
0,53,2,1,1,0,0,0,0,0.0,1,0,0,0,0
0,21,0,0,5,0,0,0,0,-1.0,1,0,1,0,1
1,55,2,0,10,0,0,0,17,-1.0,0,1,2,1,25
1,27,1,0,3,0,0,0,1,-1.0,0,1,0,1,1
1,40,1,0,1,0,0,0,0,-1.0,0,0,0,0,2
0,37,1,1,1,0,0,0,0,-1.0,1,0,0,0,1
1,32,1,1,2,0,0,0,2,-1.0,1,1,0,1,5
1,32,1,0,2,0,0,0,2,-1.0,1,0,0,0,1
1,36,1,0,5,0,0,0,4,-1.0,1,1,1,1,2
0,31,1,0,8,0,0,0,0,-1.0,0,0,2,0,2
0,26,1,0,7,0,0,0,4,0.0,0,1,1,1,0
0,50,2,1,6,0,0,0,30,-1.0,1,1,1,1,3
1,47,2,0,3,0,0,0,4,0.0,0,0,0,0,0
1,36,1,0,3,0,0,0,2,-2.0,0,1,0,0,1
0,38,1,1,1,0,0,0,0,-1.0,0,0,0,0,1
1,53,2,1,1,0,0,0,0,-1.0,0,0,0,0,0
1,53,2,0,3,0,0,0,2,-1.0,0,0,0,0,0
1,57,2,0,7,0,0,0,19,-1.0,0,0,1,0,117
1,22,0,0,8,0,0,0,5,-1.0,0,1,2,1,19
1,21,0,0,10,0,0,0,0,-5.0,0,1,2,1,1
1,26,1,0,3,0,0,0,0,-1.0,0,1,0,1,1
1,27,1,0,5,0,0,0,2,-1.0,0,0,1,0,20
0,49,2,1,5,0,0,0,4,0.0,0,0,1,0,3
1,47,2,1,3,0,0,0,1,-1.0,0,1,0,1,0
1,30,1,0,10,0,0,0,8,-1.0,0,1,2,1,1
1,44,1,1,1,0,0,0,3,0.0,0,0,0,0,0
1,34,1,0,1,0,0,0,1,-17.0,0,0,0,0,1
1,45,2,0,3,0,0,0,10,-1.0,0,1,0,1,1
1,50,2,1,1,0,0,0,2,0.0,1,0,0,0,0
1,29,1,1,6,0,0,0,1,0.0,1,0,1,0,0
1,26,1,1,4,0,0,0,0,0.0,0,0,0,0,0
0,22,0,0,6,0,0,0,1,-1.0,0,1,1,1,1
1,49,2,1,1,0,0,0,0,0.0,0,0,0,0,0
1,49,2,0,3,0,0,0,1,0.0,0,1,0,1,19
1,59,2,1,1,0,0,0,2,0.0,0,0,0,0,12
1,32,1,1,5,0,0,0,6,-29.0,1,0,1,0,27
1,24,0,0,2,0,0,2,1,0.0,1,1,0,1,-1
1,32,1,0,1,0,0,0,0,0.0,0,0,0,0,-1
1,27,1,0,10,0,0,1,9,-1.0,0,1,2,1,799
1,25,1,1,8,0,0,0,2,0.0,1,0,2,0,12
1,20,0,1,5,0,0,0,0,-1.0,1,1,1,1,0
1,37,1,0,9,2,0,0,18,-1.0,1,0,2,0,1
0,30,1,1,10,0,0,0,5,0.0,0,1,2,1,7
1,23,0,0,6,0,0,0,1,0.0,0,1,1,1,0
0,20,0,0,8,0,0,0,0,0.0,0,0,2,0,-1
1,50,2,1,2,0,0,0,8,-14.0,0,0,0,0,11
1,50,2,0,2,0,0,0,7,-1.0,0,0,0,0,0
1,40,1,1,1,0,0,0,3,-1.0,0,0,0,0,1
0,24,0,1,7,0,0,0,2,-1.0,0,0,1,0,2
0,23,0,0,5,0,0,0,3,-1.0,0,1,1,1,0
1,54,2,1,1,0,0,0,3,-1.0,1,1,0,1,2
1,25,1,1,10,0,0,2,4,-10.0,1,0,2,0,1
1,46,2,1,1,0,0,0,1,-2.0,1,0,0,0,1
0,22,0,1,3,0,0,0,0,-1.0,1,0,0,0,-1
0,32,1,1,2,0,0,0,1,-1.0,0,0,0,0,2
1,25,1,0,3,0,0,0,0,-1.0,1,1,0,1,4
1,33,1,0,9,0,0,0,16,-2.0,0,1,2,1,0
1,33,1,0,5,0,0,0,4,-1.0,1,1,1,1,1
1,24,0,0,2,0,0,0,0,0.0,0,0,0,0,-1
1,33,1,0,9,0,0,1,12,-1.0,1,1,2,1,2
1,37,1,1,2,0,0,0,0,-1.0,1,1,0,0,0
0,40,1,1,1,0,0,0,0,0.0,1,0,0,0,0
1,43,1,0,6,0,0,0,9,-1.0,0,1,1,1,0
1,35,1,0,6,0,0,0,5,-1.0,0,1,1,1,1
1,25,1,0,9,0,1,0,11,-1.0,0,1,2,1,6
1,61,2,0,1,0,0,0,1,0.0,0,1,0,1,0
0,52,2,0,1,0,0,0,1,-28.0,0,0,0,0,0
1,39,1,0,2,0,0,0,1,0.0,1,1,0,1,-1
1,47,2,0,4,0,0,0,5,-1.0,0,0,0,0,0
0,52,2,1,7,0,0,0,6,0.0,1,0,1,0,33
1,37,1,1,1,0,0,0,0,0.0,1,0,0,0,0
0,24,0,0,7,0,0,0,0,-1.0,0,0,1,0,1
0,34,1,0,9,0,0,0,14,-1.0,0,0,2,0,3
1,25,1,1,3,0,0,0,1,0.0,1,1,0,1,0
0,62,2,1,1,0,0,0,0,0.0,1,0,0,0,0
1,23,0,1,3,0,0,0,0,-1.0,0,1,0,1,1
0,60,2,1,7,0,0,0,0,0.0,0,0,1,0,13
1,35,1,1,1,0,0,0,0,-1.0,1,0,0,0,1
0,24,0,0,7,0,0,0,0,-1.0,0,0,1,0,0
1,30,1,1,1,0,0,0,0,0.0,1,0,0,0,-1
1,35,1,1,5,0,0,0,4,-1.0,0,1,1,1,1
0,28,1,1,4,0,0,0,0,-1.0,1,0,0,0,0
1,56,2,0,1,0,0,0,0,-1.0,0,0,0,0,1
1,23,0,0,2,0,0,0,2,-1.0,0,1,0,1,1
1,23,0,1,2,0,1,0,1,-1.0,1,0,0,0,0
1,21,0,0,9,0,0,0,0,0.0,0,1,2,1,1
0,35,1,0,5,0,0,0,2,-1.0,0,0,1,0,14
1,33,1,1,3,0,0,0,3,0.0,1,0,0,0,0
1,41,1,0,9,2,1,0,9,-1.0,1,1,2,0,0
1,24,0,0,5,0,0,0,0,-1.0,0,0,1,0,4
1,28,1,0,8,0,0,0,9,-1.0,0,1,2,1,1
1,49,2,0,2,0,0,0,3,0.0,0,0,0,0,1
1,21,0,0,3,0,0,0,0,-1.0,0,1,0,1,1
0,27,1,0,9,0,0,0,3,-1.0,0,1,2,1,3
1,50,2,0,5,0,0,0,4,-3.0,1,0,1,0,2
0,23,0,0,3,0,0,0,0,0.0,1,0,0,0,0
1,34,1,1,4,0,0,0,0,-1.0,1,0,0,0,0
1,25,1,0,5,0,0,1,4,-1.0,0,1,1,1,32
0,33,1,1,5,0,0,0,2,-1.0,0,1,1,1,43
0,29,1,1,10,0,0,0,11,-3.0,0,1,2,1,34
0,32,1,0,4,0,0,0,6,-1.0,0,1,0,1,3
1,52,2,0,1,0,0,0,3,-1.0,0,0,0,0,0
0,26,1,1,3,0,0,0,3,-1.0,1,0,0,0,0
1,31,1,1,3,0,0,0,2,-1.0,0,1,0,1,0
0,30,1,1,5,0,0,0,0,0.0,0,0,1,0,1
1,20,0,0,10,0,0,0,0,-1.0,1,1,2,1,4
1,31,1,1,4,0,0,0,0,-1.0,0,0,0,0,77
